r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
3,0,25,"[0.45, 0.21, 0.52, 0.43]","[0.69, 0.79, 0.45, 0.52]",,,True,0.48,0.31,0.26,B2,S2
3,0,26,"[0.45, 0.41, None, 0.43]","[0.69, 0.43, None, 0.52]",,,True,0.44,0.01,0.15,B0,S1
3,0,27,"[0.43, 0.05, None, 0.43]","[0.69, 0.48, None, 0.52]",0.43,0.48,False,,,,,
3,0,28,"[0.43, 0.21, 0.48, 0.43]","[0.69, 0.95, 0.43, 0.52]",,,True,0.46,0.14,0.18,B2,S2
3,0,29,"[0.43, 0.26, None, 0.43]","[0.69, 0.49, None, 0.52]",0.43,0.49,False,,,,,
3,0,30,"[0.43, 0.09, 0.49, 0.43]","[0.69, 0.9, 0.43, 0.52]",,,True,0.46,0.12,0.14,B2,S2
3,0,31,"[0.43, 0.33, None, 0.43]","[0.69, 0.82, None, 0.52]",0.43,0.52,False,,,,,
3,0,32,"[0.43, 0.13, 0.01, 0.43]","[0.69, 0.64, 0.99, 0.52]",0.43,0.52,False,,,,,
3,0,33,"[0.43, 0.42, 0.01, 0.43]","[0.69, 0.5, 0.99, 0.52]",0.43,0.5,False,,,,,
3,0,34,"[0.43, 0.31, 0.01, 0.43]","[0.69, 0.97, 0.99, 0.52]",0.43,0.5,False,,,,,
3,0,35,"[0.43, 0.28, 0.01, 0.43]","[0.69, 0.61, 0.99, 0.52]",0.43,0.5,False,,,,,
3,0,36,"[0.43, 0.09, 0.01, 0.43]","[0.69, 0.42, 0.99, 0.52]",,,True,0.43,0.01,0.08,B0,S1
3,0,37,"[0.33, 0.4, None, 0.43]","[0.69, 0.64, None, 0.52]",0.43,0.52,False,,,,,
3,0,38,"[0.33, 0.3, 0.01, 0.43]","[0.69, 0.79, 0.99, 0.52]",0.43,0.52,False,,,,,
3,0,39,"[0.33, 0.21, 0.01, 0.43]","[0.69, 0.73, 0.99, 0.52]",0.43,0.52,False,,,,,
3,0,40,"[0.33, 0.33, 0.01, 0.43]","[0.69, 0.62, 0.99, 0.52]",0.43,0.52,False,,,,,
3,0,41,"[0.33, 0.37, 0.01, 0.43]","[0.69, 0.51, 0.99, 0.52]",0.43,0.51,False,,,,,
3,0,42,"[0.33, 0.5, 0.01, 0.43]","[0.69, 0.93, 0.99, 0.52]",,,True,0.51,0.07,0.09,B1,S1
3,0,43,"[0.33, 0.55, None, 0.43]","[0.69, 0.52, None, 0.52]",,,True,0.53,0.03,0.1,B1,S1
3,0,44,"[0.33, 0.49, None, 0.43]","[0.69, 0.81, None, 0.52]",0.49,0.52,False,,,,,
3,0,45,"[0.33, 0.05, 0.01, 0.43]","[0.69, 0.65, 0.49, 0.52]",,,True,0.49,0.06,0.09,B1,S2
3,0,46,"[0.33, 0.18, None, 0.43]","[0.69, 0.74, None, 0.52]",0.43,0.52,False,,,,,
3,0,47,"[0.33, 0.09, 0.01, 0.43]","[0.69, 0.83, 0.99, 0.52]",0.43,0.52,False,,,,,
3,0,48,"[0.33, 0.11, 0.52, 0.43]","[0.69, 0.83, 0.43, 0.52]",,,True,0.47,0.05,0.04,B2,S2
3,0,49,"[0.33, 0.03, None, 0.43]","[0.69, 0.82, None, 0.52]",0.43,0.52,False,,,,,
4,0,0,"[0.0, 0.31, None, 0.98]","[1.0, 0.84, None, 0.1]",,,True,0.54,0.44,0.44,B3,S3
4,0,1,"[0.1, 0.23, None, 0.86]","[0.9, 0.17, None, 0.1]",,,True,0.48,0.38,0.38,B3,S3
4,0,2,"[0.19, 0.56, None, 0.77]","[0.81, 1.0, None, 0.25]",,,True,0.51,0.26,0.26,B3,S3
4,0,3,"[0.29, 0.12, None, 0.71]","[0.71, 0.23, None, 0.28]",,,True,0.47,0.24,0.41,B3,S1
4,0,4,"[0.38, 0.2, None, 0.71]","[0.62, 0.53, None, 0.28]",,,True,0.5,0.21,0.21,B3,S3
4,0,5,"[0.48, 0.48, None, 0.62]","[0.52, 0.45, None, 0.3]",,,True,0.46,0.16,0.16,B3,S3
4,0,6,"[0.57, 0.09, None, 0.61]","[0.43, 0.88, None, 0.37]",,,True,0.49,0.12,0.12,B3,S3
4,0,7,"[0.67, 0.04, None, 0.46]","[0.33, 0.76, None, 0.52]",,,True,0.5,0.45,0.45,B0,S0
4,0,8,"[0.74, 0.04, None, 0.46]","[0.3, 0.98, None, 0.52]",,,True,0.52,0.41,0.4,B0,S0
